#
# This file lists all of the actors known to the Kepler system. For
# each actor it documents the person who reviewed the documentation for
# the actor for the given release and the name of the test workflows that
# should be run by the nightly build using a path relative to the Kepler root
# directory.  For actors that can not be tested instead one should write NA
# in the workflow test column.
# '$Id: actor-list.csv 24234 2010-05-06 05:21:26Z welker $'
#
#Actor,DocReview,Release,Comments,TestWorkflow1,TestWorkflow2,...
TreeDecomposer,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TreeImprover,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TreeMerger,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TreeParser,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TreeToString,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TreeVizForester,incomplete,beta2,Requires CIPRes install for CORBA support,NA
TrigFunction,incomplete,beta2,none,none
TriggeredEnumItem,incomplete,beta2,none,none
TypeTest,incomplete,beta2,none,none
UniformDistributionRandomNumberGenerator,incomplete,beta2,none,none
UnitConverter,incomplete,beta2,none,none
UpdatedGridFTP,incomplete,beta2,none,none
URLToLocalFile,incomplete,beta2,none,workflows/test/URLToFIleTest.xml
UserInteractiveShell,incomplete,beta2,none,none
VariableSetter,incomplete,beta2,none,none
VectorAssembler,incomplete,beta2,none,none
VectorDisassembler,incomplete,beta2,none,none
WebService,incomplete,beta2,none,none
WmsdActor,incomplete,beta2,none,none
XMLToADNConverter,incomplete,beta2,none,none
XPathProcessor,incomplete,beta2,none,none
XSLTProcessor,incomplete,beta2,none,none
XYPlotter,incomplete,beta2,none,none
XYScope,incomplete,beta2,none,none
ZipFiles,incomplete,beta2,none,workflows/test/ZipTest.xml
